Feature,Increase count,Decrease count,Increase (0->1),Decrease (0->1),Increase (1->0),Decrease (1->0)
action,5,0,1,0,4,0
actor,3,0,1,0,2,0
actress,8,0,1,0,7,0
adaptation,8,0,1,0,7,0
adventure,9,0,5,0,4,0
aesthetic,5,0,1,0,4,0
allen,6,0,3,0,3,0
amazing,3,0,0,0,3,0
ambiguous,2,0,2,0,0,0
ambitious,6,0,4,0,2,0
amusing,2,1,0,0,2,1
animation,6,0,3,0,3,0
anime,12,0,1,0,11,0
antagonist,5,0,0,0,5,0
antihero,4,0,1,0,3,0
audience,2,1,0,1,2,0
authentic,7,0,2,0,5,0
award,5,0,2,0,3,0
bale,2,0,1,0,1,0
beautiful,11,0,10,0,1,0
betrayal,2,0,2,0,0,0
bigelow,2,0,0,0,2,0
biography,3,0,1,0,2,0
blockbuster,1,1,0,0,1,1
bold,3,0,2,0,1,0
boring,23,1,1,1,22,0
bravery,3,0,1,0,2,0
brilliant,3,0,2,0,1,0
budget,8,1,1,1,7,0
bullock,10,0,2,0,8,0
burton,8,0,5,0,3,0
camera,3,0,0,0,3,0
cameron,5,0,5,0,0,0
captivating,2,0,1,0,1,0
carpenter,21,0,1,0,20,0
cast,2,0,1,0,1,0
cgi,8,0,4,0,4,0
charming,4,0,0,0,4,0
cheesy,4,0,2,0,2,0
cinematic,3,0,2,0,1,0
cinematography,5,0,3,0,2,0
civilization,4,0,2,0,2,0
classic,8,0,3,0,5,0
climax,4,0,1,0,3,0
clooney,21,0,19,0,2,0
closing,5,0,1,0,4,0
coen,2,0,2,0,0,0
comedy,3,0,2,0,1,0
complex,11,0,5,0,6,0
conflict,7,0,3,0,4,0
coppola,6,0,1,0,5,0
corruption,6,0,1,0,5,0
costume,15,0,0,0,15,0
crew,5,0,3,0,2,0
crime,7,0,1,0,6,0
critic,3,1,0,1,3,0
culture,4,0,2,0,2,0
damon,33,0,31,0,2,0
dark,11,0,10,0,1,0
death,2,0,2,0,0,0
dench,5,0,1,0,4,0
depp,12,0,2,0,10,0
depressing,9,0,2,0,7,0
dialogue,2,0,0,0,2,0
dicaprio,6,0,4,0,2,0
director,5,0,2,0,3,0
disappointing,13,1,3,1,10,0
disaster,8,0,2,0,6,0
disturbing,6,0,0,0,6,0
documentary,7,0,5,0,2,0
drama,6,0,4,0,2,0
dub,4,1,3,0,1,1
dull,12,0,0,0,12,0
edgy,5,0,2,0,3,0
editing,9,0,0,0,9,0
emotional,9,0,0,0,9,0
engaging,8,0,3,0,5,0
engrossing,6,0,2,0,4,0
entertaining,8,0,3,0,5,0
exciting,4,0,1,0,3,0
existential,6,0,4,0,2,0
experimental,3,0,1,0,2,0
exploration,4,0,2,0,2,0
failure,5,0,0,0,5,0
family,2,0,1,0,1,0
fantastic,4,1,3,0,1,1
fantasy,7,0,5,0,2,0
fast,0,1,0,0,0,1
festival,2,0,0,0,2,0
fincher,5,0,2,0,3,0
flawed,9,0,2,0,7,0
flop,6,0,2,0,4,0
forgettable,3,0,1,0,2,0
frame,3,0,1,0,2,0
franchise,6,0,1,0,5,0
freedom,2,0,0,0,2,0
fresh,6,0,2,0,4,0
friendship,5,0,2,0,3,0
funny,3,1,1,1,2,0
gritty,2,0,0,0,2,0
groundbreaking,10,0,3,0,7,0
gyllenhaal,3,0,2,0,1,0
hanks,4,0,1,0,3,0
hardy,6,0,0,0,6,0
harrison,4,0,2,0,2,0
harsh,4,0,1,0,3,0
hathaway,1,0,0,0,1,0
haunting,12,0,5,0,7,0
heartfelt,7,0,1,0,6,0
hero,7,0,2,0,5,0
hilarious,5,1,1,0,4,1
historical,4,0,2,0,2,0
hit,2,1,1,1,1,0
hitchcock,4,0,2,0,2,0
horror,40,0,39,0,1,0
humanity,1,0,0,0,1,0
humorous,7,0,2,0,5,0
iconic,3,0,2,0,1,0
immersive,3,0,1,0,2,0
indie,9,0,0,0,9,0
innocence,4,0,1,0,3,0
innovative,13,0,5,0,8,0
inspiring,4,0,1,0,3,0
intense,10,1,3,0,7,1
johansson,4,0,2,0,2,0
journey,6,0,3,0,3,0
justice,6,1,3,1,3,0
kidman,3,0,1,0,2,0
kubrick,2,0,1,0,1,0
lawrence,6,0,1,0,5,0
layered,8,0,1,0,7,0
legendary,2,0,0,0,2,0
life,5,1,3,0,2,1
lifeless,4,0,1,0,3,0
lighting,5,0,2,0,3,0
love,5,1,2,0,3,1
lucas,6,0,2,0,4,0
lynch,8,0,2,0,6,0
magic,4,0,2,0,2,0
mainstream,4,0,0,0,4,0
majestic,4,0,0,0,4,0
makeup,7,0,3,0,4,0
masterpiece,9,0,4,0,5,0
mcconaughey,5,0,3,0,2,0
mediocre,4,0,2,0,2,0
melodramatic,4,0,1,0,3,0
memorable,3,0,2,0,1,0
metaphorical,5,0,1,0,4,0
mirren,4,0,1,0,3,0
modest,1,0,0,0,1,0
mood,7,0,6,0,1,0
moral,3,0,0,0,3,0
musical,8,0,2,0,6,0
mystery,2,1,2,0,0,1
mythology,2,0,2,0,0,0
narrative,4,0,1,0,3,0
nature,8,0,5,0,3,0
noir,6,0,4,0,2,0
nolan,1,0,0,0,1,0
nomination,6,0,3,0,3,0
nostalgic,7,0,2,0,5,0
opening,3,2,0,2,3,0
original,3,1,2,0,1,1
oscar,5,0,0,0,5,0
overrated,4,0,0,0,4,0
pacing,10,0,2,0,8,0
pacino,8,0,1,0,7,0
perfect,4,0,0,0,4,0
philosophical,4,0,0,0,4,0
philosophy,6,0,2,0,4,0
pitt,9,0,2,0,7,0
pleasant,2,0,1,0,1,0
plot,9,0,0,0,9,0
polished,4,0,1,0,3,0
power,11,0,0,0,11,0
powerful,4,0,2,0,2,0
predictable,3,0,2,0,1,0
premiere,6,0,2,0,4,0
production,4,0,1,0,3,0
protagonist,4,1,3,0,1,1
rating,5,0,2,0,3,0
raw,4,0,3,0,1,0
realistic,6,0,3,0,3,0
rebellion,2,0,2,0,0,0
redemption,4,0,3,0,1,0
redford,4,0,1,0,3,0
refined,5,0,2,0,3,0
refreshing,5,0,4,0,1,0
relatable,5,0,2,0,3,0
release,8,0,6,0,2,0
religion,6,0,5,0,1,0
remake,2,0,1,0,1,0
revenge,4,1,0,1,4,0
review,45,0,0,0,45,0
ridley,3,0,2,0,1,0
roberts,4,0,0,0,4,0
role,4,2,2,0,2,2
romance,6,0,2,0,4,0
romantic,3,1,0,1,3,0
sacrifice,6,0,2,0,4,0
scary,5,0,3,0,2,0
scene,3,1,2,1,1,0
score,8,0,0,0,8,0
scorsese,4,1,3,0,1,1
screenplay,3,1,0,0,3,1
script,12,0,0,0,12,0
sequel,5,0,2,0,3,0
sequence,6,0,1,0,5,0
series,5,0,1,0,4,0
sharp,5,0,1,0,4,0
shot,4,1,0,1,4,0
simplistic,5,0,0,0,5,0
slow,3,0,1,0,2,0
society,8,0,0,0,8,0
sound,4,0,1,0,3,0
soundtrack,10,0,4,0,6,0
spectacular,3,0,1,0,2,0
spielberg,9,0,1,0,8,0
stale,4,0,1,0,3,0
straightforward,3,0,1,0,2,0
streep,7,0,3,0,4,0
strong,7,0,1,0,6,0
studio,3,0,1,0,2,0
stunning,4,0,0,0,4,0
subtitle,7,0,2,0,5,0
success,3,0,2,0,1,0
